,title,genres
0,Inception,"Action, Science Fiction, Adventure"
1,Interstellar,"Adventure, Drama, Science Fiction"
2,The Dark Knight,"Drama, Action, Crime, Thriller"
3,Avatar,"Action, Adventure, Fantasy, Science Fiction"
4,The Avengers,"Science Fiction, Action, Adventure"
5,Deadpool,"Action, Adventure, Comedy"
6,Avengers: Infinity War,"Adventure, Action, Science Fiction"
7,Fight Club,Drama
8,Guardians of the Galaxy,"Action, Science Fiction, Adventure"
9,Pulp Fiction,"Thriller, Crime"
10,Forrest Gump,"Comedy, Drama, Romance"
11,Harry Potter and the Philosopher's Stone,"Adventure, Fantasy"
12,Iron Man,"Action, Science Fiction, Adventure"
13,Django Unchained,"Drama, Western"
14,The Shawshank Redemption,"Drama, Crime"
15,Avengers: Endgame,"Adventure, Science Fiction, Action"
16,The Matrix,"Action, Science Fiction"
17,Titanic,"Drama, Romance"
18,Joker,"Crime, Thriller, Drama"
19,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action"
20,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action"
21,Shutter Island,"Drama, Thriller, Mystery"
22,The Wolf of Wall Street,"Crime, Drama, Comedy"
23,Avengers: Age of Ultron,"Action, Adventure, Science Fiction"
24,Captain America: Civil War,"Adventure, Action, Science Fiction"
25,The Dark Knight Rises,"Action, Crime, Drama, Thriller"
26,Iron Man 3,"Action, Adventure, Science Fiction"
27,Black Panther,"Action, Adventure, Science Fiction"
28,Doctor Strange,"Action, Adventure, Fantasy"
29,Mad Max: Fury Road,"Action, Adventure, Science Fiction"
30,Inglourious Basterds,"Drama, Thriller, War"
31,The Hunger Games,"Science Fiction, Adventure, Fantasy"
32,Spider-Man: Homecoming,"Action, Adventure, Science Fiction, Drama"
33,Harry Potter and the Chamber of Secrets,"Adventure, Fantasy"
34,Guardians of the Galaxy Vol. 2,"Science Fiction, Adventure, Action"
35,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action"
36,Captain America: The First Avenger,"Action, Adventure, Science Fiction"
37,Suicide Squad,"Action, Adventure, Fantasy"
38,Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy"
39,Thor,"Adventure, Fantasy, Action"
40,Iron Man 2,"Adventure, Action, Science Fiction"
41,Batman Begins,"Action, Crime, Drama"
42,Thor: Ragnarok,"Action, Adventure, Science Fiction"
43,Inside Out,"Animation, Family, Adventure, Drama, Comedy"
44,Jurassic World,"Action, Adventure, Science Fiction, Thriller"
